ZIP,Median_Sales_Price_2015,Total_Change_in_Median_Sales_Price,Pct_change_in_Median_Sales_Price,Total_Pop2015,PctPopChange
78701,459500.00,182000.00,0.66,13369.00,0.95
78702,358000.00,177750.00,0.99,24890.00,0.17
78703,718500.00,238500.00,0.50,21218.00,0.08
78704,475000.00,165000.00,0.53,47154.00,0.12
78705,229000.00,39000.00,0.21,34065.00,0.11
78717,317603.00,79603.00,0.33,28616.00,0.22
78719,125000.00,27000.00,0.28,2354.00,0.25
78721,255500.00,138500.00,1.18,12306.00,0.07
78722,399000.00,149000.00,0.60,7237.00,0.23
78723,330000.00,142000.00,0.76,34356.00,0.22
78724,169500.00,70500.00,0.71,19750.00,0.09
78725,154900.00,49900.00,0.48,11775.00,0.21
78726,415000.00,89000.00,0.27,14329.00,0.13
78727,259200.00,61700.00,0.31,27982.00,0.06
78728,238250.00,69250.00,0.41,21481.00,0.06
78729,254500.00,62050.00,0.32,29930.00,0.10
78730,591300.00,141300.00,0.31,7058.00,0.01
78731,555000.00,139750.00,0.34,26415.00,0.03
78732,450000.00,70000.00,0.18,15776.00,0.08
78733,660000.00,196000.00,0.42,9866.00,0.02
78734,365000.00,64219.00,0.21,7853.00,0.03
78735,469480.00,112480.00,0.32,17314.00,0.09
78736,300000.00,89000.00,0.42,7408.00,0.08
78737,415000.00,96010.00,0.30,3858.00,0.18
78738,510121.00,85121.00,0.20,1961.00,0.09
78739,435959.00,113459.00,0.35,17835.00,0.09
78741,214900.00,109400.00,1.04,47530.00,0.06
78742,120000.00,0.00,0.00,3079.00,0.11
78744,182000.00,75000.00,0.70,45883.00,0.06
78745,260000.00,93500.00,0.56,58151.00,0.05
78746,846050.00,261050.00,0.45,27169.00,0.02
78747,224000.00,73000.00,0.48,14830.00,0.13
78748,254500.00,74224.00,0.41,41064.00,0.07
78749,320000.00,90000.00,0.39,35700.00,0.02
78750,298000.00,69663.00,0.31,27873.00,0.05
78751,404000.00,124500.00,0.45,14765.00,0.10
78755,352439.00,85311.00,0.35,25059.00,0.02
78756,351919.00,84189.00,0.34,25239.00,0.02
78757,351400.00,83067.00,0.34,25419.00,0.02
78759,350880.00,81946.00,0.33,25599.00,0.01
78760,350361.00,80824.00,0.32,25779.00,0.01
78761,349841.00,79702.00,0.32,25959.00,0.01
78763,349322.00,78580.00,0.31,26139.00,0.00
